r030,txt,rate,cc,exchangedate
36,Австралійський долар,25.9708,AUD,06.03.2025
124,Канадський долар,28.6889,CAD,06.03.2025
156,Юань Женьміньбі,5.7001,CNY,06.03.2025
203,Чеська крона,1.7669,CZK,06.03.2025
208,Данська крона,5.9321,DKK,06.03.2025
344,Гонконгівський долар,5.3234,HKD,06.03.2025
348,Форинт,0.110984,HUF,06.03.2025
356,Індійська рупія,0.47573,INR,06.03.2025
360,Рупія,0.0025359,IDR,06.03.2025
376,Новий ізраїльський шекель,11.4248,ILS,06.03.2025
392,Єна,0.27677,JPY,06.03.2025
398,Теньге,0.083346,KZT,06.03.2025
410,Вона,0.028517,KRW,06.03.2025
484,Мексиканське песо,2.0063,MXN,06.03.2025
498,Молдовський лей,2.2375,MDL,06.03.2025
554,Новозеландський долар,23.497,NZD,06.03.2025
578,Норвезька крона,3.7434,NOK,06.03.2025
643,Російський рубль,0.4608,RUB,06.03.2025
702,Сінгапурський долар,30.9479,SGD,06.03.2025
710,Ренд,2.2447,ZAR,06.03.2025
752,Шведська крона,4.0152,SEK,06.03.2025
756,Швейцарський франк,46.5175,CHF,06.03.2025
818,Єгипетський фунт,0.8161,EGP,06.03.2025
826,Фунт стерлінгів,53.0069,GBP,06.03.2025
840,Долар США,41.368,USD,06.03.2025
933,Білоруський рубль,15.0363,BYN,06.03.2025
944,Азербайджанський манат,24.3499,AZN,06.03.2025
946,Румунський лей,8.8927,RON,06.03.2025
949,Турецька ліра,1.1354,TRY,06.03.2025
960,СПЗ (спеціальні права запозичення),54.732,XDR,06.03.2025
975,Болгарський лев,22.6191,BGN,06.03.2025
978,Євро,44.2493,EUR,06.03.2025
985,Злотий,10.674,PLN,06.03.2025
12,Алжирський динар,0.30678,DZD,06.03.2025
50,Така,0.3396,BDT,06.03.2025
51,Вірменський драм,0.105329,AMD,06.03.2025
214,Домініканське песо,0.66703,DOP,06.03.2025
364,Іранський ріал,7.112e-05,IRR,06.03.2025
368,Іракський динар,0.031627,IQD,06.03.2025
417,Сом,0.47378,KGS,06.03.2025
422,Ліванський фунт,0.00042,LBP,06.03.2025
434,Лівійський динар,8.476,LYD,06.03.2025
458,Малайзійський ринггіт,9.2849,MYR,06.03.2025
504,Марокканський дирхам,4.1619,MAD,06.03.2025
586,Пакистанська рупія,0.1482,PKR,06.03.2025
682,Саудівський ріял,11.0469,SAR,06.03.2025
704,Донг,0.0016211,VND,06.03.2025
764,Бат,1.21254,THB,06.03.2025
784,Дирхам ОАЕ,11.2812,AED,06.03.2025
788,Туніський динар,13.0501,TND,06.03.2025
860,Узбецький сум,0.0032174,UZS,06.03.2025
901,Новий тайванський долар,1.25939,TWD,06.03.2025
934,Туркменський новий манат,11.8375,TMT,06.03.2025
941,Сербський динар,0.36798,RSD,06.03.2025
972,Сомоні,3.7938,TJS,06.03.2025
981,Ларі,14.8366,GEL,06.03.2025
986,Бразильський реал,7.0922,BRL,06.03.2025
959,Золото,120648.94,XAU,06.03.2025
961,Срібло,1337.87,XAG,06.03.2025
962,Платина,40084.76,XPT,06.03.2025
964,Паладій,39111.79,XPD,06.03.2025
